,0,Datas,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
33,Outros,1140902.016,1634322.944,1431117.952,2183870.976,1584238.976,1310411.008,579009.024,343747.008,400480.992,1596617.984,1214523.136,1349304.96,2816116.992,3241803.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173201.92,2315170.048,0,0,0,0,0,0,9036786.688,7348764.16,2393595.904,2254914.048,3160027.904,1698089.984
34,Provisões,18150465.536,17174817.792,12079553.536,4056619.008,4770200.064,5022779.904,5638979.072,12097349.632,3589254.912,3770872.064,4113904.896,7215079.936,6356518.912,4799546.88,10603569.152,11249511.424,8063720.96,4614845.952,5852632.064,6585613.824,4918055.936,4040165.888,4251037.952,1992792.064,3345416.96,4484262.912,3613498.112,3571524.096,353912,325550.016,2293122.048,2392672,2741618.944,2521797.12,3452567.04,9690065.92,1982243.968,1666678.016,1370125.056,1799760,1622889.984,1445918.976
35,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0,0,0,0,0,0,706843.008,3898912,3590327.04,3604227.072,3292705.024,3553817.088,483347.008,257854,335516,416280.992,1110384,476552,460147.008,293660,0,0,0,1049875.968,1012521.984,0,356567.008,326551.008,78235,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Passivo Não Circulante,157385555.968,151711399.936,150042279.936,132516003.84,138866802.688,138888871.936,128275267.584,136633532.416,142239154.176,151588896.768,150859268.096,152384913.408,160400179.2,153881952.256,160512000,164947820.544,175990996.992,146188746.752,148230111.232,131300155.392,120256208.896,112047013.888,114908594.176,117240954.88,97475584,97471799.296,89274277.888,85620146.176,84719345.664,74481549.312,70547087.36,72867667.968,69937242.112,62034599.936,68372295.68,66951081.984,64678428.672,64491937.792,59074203.648,56776224.768,57203986.432,60217368.576
37,Empréstimos e Financiamentos,62587854.848,61713776.64,61813886.976,56039432.192,61808201.728,62015840.256,60859420.672,68758847.488,75878383.616,85317861.376,86064300.032,90153762.816,95009808.384,91995807.744,100413194.24,102878306.304,101883453.44,82486468.608,81135206.4,72749121.536,66777169.92,61805305.856,63557169.152,64819142.656,58971451.392,59043565.568,53874446.336,54762975.232,54487994.368,46609764.352,41189224.448,42752774.144,41831686.144,36869132.288,37625077.76,37779484.672,38160388.096,36004585.472,36074287.104,36126191.616,35261112.32,38303735.808
38,Passivos com Partes Relacionadas,3972258.048,3673884.928,3730875.904,3721696,3838801.92,3712719.872,3239290.88,3226294.016,3112700.928,3289455.104,3228218.112,415628.992,445465.984,461552,438080.992,830604.032,303830.016,290657.984,289620,288315.008,274747.008,390216.992,371843.008,11191,148142,147704.992,115743,146440,164679.008,157992.992,143184,229632,0,19052,236,3362,109474,103000,102704,103491,118411,241203.008
39,Outros,1597362.048,1239945.984,1212704,1334669.056,1971298.048,2382543.104,1732845.056,2269032.96,2152588.032,3224953.088,3069810.944,3990614.016,3788563.968,3856638.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10177301.504,9216461.824,0,0,0,0,0,0,17389975.552,18979760.128,13489074.176,11759325.184,13388954.624,13395531.776
40,Tributos Diferidos,7322964.992,5628964.864,5938071.04,5935772.16,6851634.176,6471644.16,5664548.864,5687250.944,5081294.848,5178734.08,5314424.832,5539952.128,5440480.256,5581167.104,6466676.224,6520193.024,11505189.888,9585390.592,9941785.6,8873714.688,7977311.232,7406297.088,7263777.792,7561947.136,6927714.816,7167256.064,7074105.856,7753892.864,8215300.096,8072259.072,10453979.136,10772546.56,10703255.552,9556979.712,14115011.584,12947140.608,0,0,0,0,0,0
41,Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Provisões,81905106.944,79454822.4,77346734.08,65484427.264,64396857.344,64306114.56,56779157.504,56692105.216,56014184.448,54577889.28,53182509.056,52284964.864,55715864.576,51986788.352,53194047.488,54718726.144,62298521.6,53826232.32,56863502.336,49388998.656,45226987.52,42445197.312,43715805.184,44848668.672,31428272.128,31113275.392,28209985.536,22956832.768,11674062.848,10425075.712,18760699.904,19112718.336,17402292.224,15589437.44,16631972.864,16221091.84,9018591.232,9404588.032,9408140.288,8787220.48,8435509.76,8276898.816
